E M
-2.51917 -0.152979
-2.51962 -0.159042
-2.52008 -0.164925
-2.52054 -0.170627
-2.52102 -0.176146
-2.5215 -0.181479
-2.52198 -0.186626
-2.52248 -0.191583
-2.52298 -0.19635
-2.52349 -0.200924
-2.52401 -0.205302
-2.52454 -0.209484
-2.52507 -0.213466
-2.52561 -0.217248
-2.52616 -0.220826
-2.52672 -0.2242
-2.52729 -0.227365
-2.52786 -0.230322
-2.52845 -0.233067
-2.52904 -0.235598
-2.52964 -0.237913
-2.53025 -0.24001
-2.53087 -0.241887
-2.53149 -0.243541
-2.53213 -0.244971
-2.53277 -0.246174
-2.53343 -0.247147
-2.53409 -0.247889
-2.53477 -0.248397
-2.53545 -0.248669
-2.53614 -0.248702
-2.53685 -0.248495
-2.53756 -0.248044
-2.53829 -0.247348
-2.53902 -0.246404
-2.53976 -0.245209
-2.54052 -0.243761
-2.54129 -0.242058
-2.54206 -0.240097
-2.54285 -0.237876
-2.54365 -0.235392
-2.54446 -0.232642
-2.54529 -0.229624
-2.54612 -0.226335
-2.54697 -0.222774
-2.54783 -0.218936
-2.5487 -0.21482
-2.54958 -0.210423
-2.55048 -0.205741
-2.55139 -0.200774
-2.55232 -0.195517
-2.55325 -0.189968
-2.5542 -0.184124
-2.55517 -0.177983
-2.55615 -0.171541
-2.55714 -0.164796
-2.55814 -0.157746
-2.55917 -0.150386
-2.5602 -0.142715
-2.56126 -0.134729
-2.56232 -0.126426
-2.56341 -0.117803
-2.56451 -0.108857
-2.56562 -0.0995841
-2.56676 -0.0899825
-2.56791 -0.0800488
-2.56907 -0.0697802
-2.57026 -0.0591738
-2.57146 -0.0482264
-2.57268 -0.0369352
-2.57392 -0.0252971
-2.57518 -0.0133093
-2.57646 -0.000968605
-2.57775 0.0117278
-2.57907 0.0247831
-2.58041 0.0382
-2.58177 0.0519817
-2.58315 0.0661311
-2.58455 0.0806512
-2.58597 0.0955448
-2.58741 0.110815
-2.58888 0.126465
-2.59037 0.142496
-2.59189 0.158914
-2.59343 0.175719
-2.59499 0.192915
-2.59658 0.210504
-2.59819 0.22849
-2.59984 0.246875
-2.6015 0.265661
-2.6032 0.284852
-2.60492 0.304449
-2.60667 0.324455
-2.60845 0.344873
-2.61026 0.365705
-2.6121 0.386953
-2.61398 0.408618
-2.61588 0.430704
-2.61781 0.453212
-2.61978 0.476143
-2.62179 0.4995
-2.62382 0.523284
-2.6259 0.547495
-2.62801 0.572136
-2.63015 0.597207
-2.63233 0.622709
-2.63456 0.648643
-2.63682 0.675008
-2.63912 0.701806
-2.64147 0.729035
-2.64385 0.756695
-2.64628 0.784786
-2.64875 0.813306
-2.65127 0.842254
-2.65384 0.871628
-2.65645 0.901426
-2.65912 0.931645
-2.66183 0.962281
-2.66459 0.993332
-2.66741 1.02479
-2.67028 1.05666
-2.6732 1.08893
-2.67618 1.12159
-2.67922 1.15463
-2.68231 1.18806
-2.68547 1.22186
-2.68869 1.19347
-2.69197 1.15896
-2.69532 1.1241
-2.69873 1.08892
-2.70221 1.05342
-2.70576 1.01762
-2.70939 0.981533
-2.71308 0.945178
-2.71685 0.908573
-2.7207 0.871737
-2.72462 0.834693
-2.72863 0.797463
-2.73271 0.760074
-2.73689 0.722551
-2.74114 0.684926
-2.74549 0.647229
-2.74992 0.609493
-2.75444 0.571757
-2.75906 0.534059
-2.76377 0.496441
-2.76858 0.458948
-2.77349 0.421628
-2.7785 0.384534
-2.78361 0.34772
-2.78882 0.311245
-2.79414 0.275173
-2.79956 0.23957
-2.8051 0.204508
-2.81074 0.170062
-2.81649 0.136315
-2.82236 0.103351
-2.82833 0.0712616
-2.83442 0.0401431
-2.84061 0.0100973
-2.84692 -0.0187682
-2.85334 -0.0463403
-2.85987 -0.0724997
-2.86651 -0.0971213
-2.87325 -0.120074
-2.88009 -0.141221
-2.88703 -0.160419
-2.89407 -0.177521
-2.9012 -0.192373
-2.90841 -0.204816
-2.91569 -0.214688
-2.92305 -0.221823
-2.93046 -0.226051
-2.93793 -0.227201
-2.94543 -0.225102
-2.95295 -0.219583
-2.96049 -0.210475
-2.96801 -0.197613
-2.97552 -0.180841
-2.98298 -0.160007
-2.99038 -0.134973
-2.99769 -0.105614
-2.99511 -0.0718236
-2.98805 -0.0335119
