E M
-2.76184 0.694468
-2.76189 0.693473
-2.76194 0.692478
-2.76198 0.691485
-2.76203 0.690491
-2.76208 0.689498
-2.76213 0.688506
-2.76217 0.687514
-2.76222 0.686522
-2.76227 0.685531
-2.76232 0.684541
-2.76236 0.68355
-2.76241 0.682561
-2.76246 0.681572
-2.76251 0.680583
-2.76256 0.679595
-2.7626 0.678607
-2.76265 0.677619
-2.7627 0.676633
-2.76275 0.675646
-2.7628 0.67466
-2.76285 0.673675
-2.7629 0.67269
-2.76294 0.671706
-2.76299 0.670722
-2.76304 0.669738
-2.76309 0.668755
-2.76314 0.667772
-2.76319 0.66679
-2.76324 0.665809
-2.76329 0.664828
-2.76334 0.663847
-2.76339 0.662867
-2.76344 0.661887
-2.76349 0.660908
-2.76354 0.659929
-2.76359 0.658951
-2.76364 0.657973
-2.76369 0.656996
-2.76374 0.656019
-2.76379 0.655043
-2.76384 0.654067
-2.76389 0.653092
-2.76394 0.652117
-2.76399 0.651143
-2.76404 0.650169
-2.76409 0.649196
-2.76414 0.648223
-2.76419 0.647251
-2.76424 0.646279
-2.7643 0.645308
-2.76435 0.644337
-2.7644 0.643367
-2.76445 0.642397
-2.7645 0.641427
-2.76455 0.640459
-2.7646 0.63949
-2.76466 0.638522
-2.76471 0.637555
-2.76476 0.636588
-2.76481 0.635622
-2.76486 0.634656
-2.76492 0.633691
-2.76497 0.632726
-2.76502 0.631762
-2.76507 0.630798
-2.76513 0.629835
-2.76518 0.628872
-2.76523 0.62791
-2.76528 0.626948
-2.76534 0.625987
-2.76539 0.625026
-2.76544 0.624066
-2.7655 0.623106
-2.76555 0.622147
-2.7656 0.621188
-2.76565 0.62023
-2.76571 0.619272
-2.76576 0.618315
-2.76582 0.617359
-2.76587 0.616403
-2.76592 0.615447
-2.76598 0.614492
-2.76603 0.613537
-2.76608 0.612583
-2.76614 0.61163
-2.76619 0.610677
-2.76625 0.609724
-2.7663 0.608773
-2.76636 0.607821
-2.76641 0.60687
-2.76646 0.60592
-2.76652 0.60497
-2.76657 0.604021
-2.76663 0.603072
-2.76668 0.602124
-2.76674 0.601176
-2.76679 0.600229
-2.76685 0.599282
-2.7669 0.598336
-2.76696 0.597391
-2.76701 0.596446
-2.76707 0.595501
-2.76713 0.594557
-2.76718 0.593614
-2.76724 0.592671
-2.76729 0.591728
-2.76735 0.590786
-2.7674 0.589845
-2.76746 0.588904
-2.76752 0.587964
-2.76757 0.587024
-2.76763 0.586085
-2.76769 0.585147
-2.76774 0.584208
-2.7678 0.583271
-2.76785 0.582334
-2.76791 0.581398
-2.76797 0.580462
-2.76803 0.579526
-2.76808 0.578591
-2.76814 0.577657
-2.7682 0.576723
-2.76825 0.57579
-2.76831 0.574858
-2.76837 0.573926
-2.76843 0.572994
-2.76848 0.572063
-2.76854 0.571133
-2.7686 0.570203
-2.76866 0.569273
-2.76871 0.568345
-2.76877 0.567416
-2.76883 0.566489
-2.76889 0.565562
-2.76895 0.564635
-2.769 0.563709
-2.76906 0.562783
-2.76912 0.561859
-2.76918 0.560934
-2.76924 0.56001
-2.7693 0.559087
-2.76935 0.558165
-2.76941 0.557242
-2.76947 0.556321
-2.76953 0.5554
-2.76959 0.554479
-2.76965 0.55356
-2.76971 0.55264
-2.76977 0.551722
-2.76983 0.550803
-2.76989 0.549886
-2.76995 0.548969
-2.77001 0.548052
-2.77006 0.547136
-2.77012 0.546221
-2.77018 0.545306
-2.77024 0.544392
-2.7703 0.543478
-2.77036 0.542565
-2.77042 0.541653
-2.77048 0.540741
-2.77054 0.53983
-2.77061 0.538919
-2.77067 0.538009
-2.77073 0.537099
-2.77079 0.53619
-2.77085 0.535281
-2.77091 0.534373
-2.77097 0.533466
-2.77103 0.532559
-2.77109 0.531653
-2.77115 0.530748
-2.77121 0.529842
-2.77127 0.528938
-2.77134 0.528034
-2.7714 0.527131
-2.77146 0.526228
-2.77152 0.525326
-2.77158 0.524424
-2.77164 0.523523
-2.7717 0.522623
-2.77177 0.521723
-2.77183 0.520824
-2.77189 0.519925
-2.77195 0.519027
-2.77201 0.51813
-2.77208 0.517233
-2.77214 0.516337
-2.7722 0.515441
-2.77226 0.514546
-2.77233 0.513651
-2.77239 0.512758
-2.77245 0.511864
-2.77251 0.510971
-2.77258 0.510079
-2.77264 0.509188
-2.7727 0.508297
-2.77277 0.507406
