E M
-2.66852 -0.0408143
-2.6683 -0.0419582
-2.66808 -0.043095
-2.66786 -0.0442245
-2.66764 -0.0453469
-2.66742 -0.0464621
-2.6672 -0.0475702
-2.66698 -0.0486711
-2.66676 -0.0497648
-2.66654 -0.0508515
-2.66632 -0.051931
-2.6661 -0.0530034
-2.66589 -0.0540687
-2.66567 -0.0551269
-2.66546 -0.0561781
-2.66524 -0.0572222
-2.66502 -0.0582592
-2.66481 -0.0592892
-2.6646 -0.0603121
-2.66438 -0.061328
-2.66417 -0.062337
-2.66396 -0.0633389
-2.66374 -0.0643338
-2.66353 -0.0653217
-2.66332 -0.0663026
-2.66311 -0.0672766
-2.6629 -0.0682437
-2.66269 -0.0692038
-2.66248 -0.0701569
-2.66227 -0.0711032
-2.66206 -0.0720425
-2.66185 -0.0729749
-2.66164 -0.0739004
-2.66143 -0.0748191
-2.66123 -0.0757309
-2.66102 -0.0766358
-2.66081 -0.0775339
-2.66061 -0.0784251
-2.6604 -0.0793095
-2.6602 -0.0801871
-2.65999 -0.0810579
-2.65979 -0.0819219
-2.65958 -0.082779
-2.65938 -0.0836295
-2.65918 -0.0844731
-2.65897 -0.08531
-2.65877 -0.0861401
-2.65857 -0.0869635
-2.65837 -0.0877802
-2.65817 -0.0885901
-2.65797 -0.0893934
-2.65777 -0.0901899
-2.65757 -0.0909798
-2.65737 -0.091763
-2.65717 -0.0925395
-2.65697 -0.0933094
-2.65677 -0.0940726
-2.65657 -0.0948292
-2.65638 -0.0955791
-2.65618 -0.0963225
-2.65598 -0.0970592
-2.65579 -0.0977893
-2.65559 -0.0985129
-2.6554 -0.0992299
-2.6552 -0.0999403
-2.65501 -0.100644
-2.65481 -0.101341
-2.65462 -0.102032
-2.65442 -0.102716
-2.65423 -0.103394
-2.65404 -0.104065
-2.65385 -0.10473
-2.65365 -0.105388
-2.65346 -0.10604
-2.65327 -0.106685
-2.65308 -0.107324
-2.65289 -0.107957
-2.6527 -0.108583
-2.65251 -0.109202
-2.65232 -0.109815
-2.65213 -0.110422
-2.65194 -0.111022
-2.65176 -0.111616
-2.65157 -0.112204
-2.65138 -0.112785
-2.65119 -0.11336
-2.65101 -0.113928
-2.65082 -0.114491
-2.65064 -0.115046
-2.65045 -0.115596
-2.65027 -0.116139
-2.65008 -0.116676
-2.6499 -0.117207
-2.64971 -0.117731
-2.64953 -0.118249
-2.64935 -0.118761
-2.64916 -0.119267
-2.64898 -0.119766
-2.6488 -0.120259
-2.64862 -0.120746
-2.64844 -0.121227
-2.64825 -0.121701
-2.64807 -0.122169
-2.64789 -0.122632
-2.64771 -0.123088
-2.64753 -0.123537
-2.64735 -0.123981
-2.64718 -0.124419
-2.647 -0.12485
-2.64682 -0.125275
-2.64664 -0.125694
-2.64646 -0.126107
-2.64629 -0.126514
-2.64611 -0.126915
-2.64593 -0.12731
-2.64576 -0.127699
-2.64558 -0.128081
-2.64541 -0.128458
-2.64523 -0.128829
-2.64506 -0.129193
-2.64488 -0.129552
-2.64471 -0.129904
-2.64454 -0.130251
-2.64436 -0.130592
-2.64419 -0.130926
-2.64402 -0.131255
-2.64385 -0.131577
-2.64367 -0.131894
-2.6435 -0.132205
-2.64333 -0.13251
-2.64316 -0.132809
-2.64299 -0.133102
-2.64282 -0.133389
-2.64265 -0.13367
-2.64248 -0.133946
-2.64231 -0.134215
-2.64214 -0.134479
-2.64197 -0.134737
-2.64181 -0.134989
-2.64164 -0.135235
-2.64147 -0.135475
-2.6413 -0.135709
-2.64114 -0.135938
-2.64097 -0.136161
-2.6408 -0.136378
-2.64064 -0.136589
-2.64047 -0.136795
-2.64031 -0.136995
-2.64014 -0.137189
-2.63998 -0.137377
-2.63981 -0.13756
-2.63965 -0.137736
-2.63949 -0.137908
-2.63932 -0.138073
